------- test 1 [length 80 bytes] ----
7
-15 0 5 10
-70 68 -69 69
-68 -70 -67 -69
-68 -68 -67 -67
-68 -66 -67 -65
-68 -64 -67 -63
-68 -62 -67 -61
-68 -60 -67 -59
-68 -58 -67 -57
-68 -56 -67 -55
-68 -54 -67 -53
-68 -52 -67 -51
-68 -50 -67 -49
-68 -48 -67 -47
-68 -46 -67 -45
-68 -44 -67 -43
-68 -42 -67 -41
-68 -40 -67 -39
-68 -38 -67 -37
-68 -36 -67 -35
-68 -34 -67 -33
-68 -32 -67 -31
-68 -30 -67 -29
-68 -28 -67 -27
-68 -26 -67 -25
-68 -24 -67 -23
-68 -22 -67 -21
-68 -20 -67 -19
-68 -18 -67 -17
-68 -16 -67 -15
-68 -14 -67 -13
-68 -12 -67 -11
-68 -10 -67 -9
-68 -8 -67 -7
-68 -6 -67 -5
-68 -4 -67 -3
-68 -2 -67 -1
-68 0 -67 1
-68 2 -67 3
-68 4 -67 5
-68 6 -67 7
-68 8 -67 9
-68 10 -67 11
-68 12 -67 13
-68 14 -67 15
-68 16 -67 17
-68 18 -67 19
-68 20 -67 21
-68 22 -67 23
-68 24 -67 25
-68 26 -67 27
-68 28 -67 29
-68 30 -67 31
-68 32 -67 33
-68 34 -67 35
-68 36 -67 37
-68 38 -67 39
-68 40 -67 41
-68 42 -67 43
-68 44 -67 45
-68 46 -67 47
-68 48 -67 49
-68 50 -67 51
-68 52 -67 53
-68 54 -67 55
-68 56 -67 57
-68 58 -67 59
-68 60 -67 61
-68 62 -67 63
-68 64 -67 65
-68 66 -67 67
-68 68 -67 69
-66 -70 -65 -69
-66 -68 -65 -67
-66 -66 -65 -65
-66 -64 -65 -63
-66 -62 -65 -61
-66 -60 -65 -59
-66 -58 -65 -57
-66 -56 -65 -55
-66 -54 -65 -53
-66 -52 -65 -51
-66 -50 -65 -49
-66 -48 -65 -47
-66 -46 -65 -45
-66 -44 -65 -43
-66 -42 -65 -41
-66 -40 -65 -39
-66 -38 -65 -37
-66 -36 -65 -35
-66 -34 -65 -33
-66 -32 -65 -31
-66 -30 -65 -29
-66 -28 -65 -27
-66 -26 -65 -25
-66 -24 -65 -23
-66 -22 -65 -21
-66 -20 -65 -19
-66 -18 -65 -17
-66 -16 -65 -15
-66 -14 -65 -13
-66 -12 -65 -11
-66 -10 -65 -9
-66 -8 -65 -7
-66 -6 -65 -5
-66 -4 -65 -3
-66 -2 -65 -1
-66 0 -65 1
-66 2 -65 3
-66 4 -65 5
-66 6 -65 7
-66 8 -65 9
-66 10 -65 11
-66 12 -65 13
-66 14 -65 15
-66 16 -65 17
-66 18 -65 19
-66 20 -65 21
-66 22 -65 23
-66 24 -65 25
-66 26 -65 27
-66 28 -65 29
-66 30 -65 31
-66 32 -65 33
-66 34 -65 35
-66 36 -65 37
-66 38 -65 39
-66 40 -65 41
-66 42 -65 43
-66 44 -65 45
-66 46 -65 47
-66 48 -65 49
-66 50 -65 51
-66 52 -65 53
-66 54 -65 55
-66 56 -65 57
-66 58 -65 59
-66 60 -65 61
-66 62 -65 63
-66 64 -65 65
-66 66 -65 67
-66 68 -65 69
-64 -70 -63 -69
-64 -68 -63 -67
-64 -66 -63 -65
-64 -64 -63 -63
-64 -62 -63 -61
-64 -60 -63 -59
-64 -58 -63 -57
-64 -56 -63 -55
-64 -54 -63 -53
-64 -52 -63 -51
-64 -50 -63 -49
-64 -48 -63 -47
-64 -46 -63 -45
-64 -44 -63 -43
-64 -42 -63 -41
-64 -40 -63 -39
-64 -38 -63 -37
-64 -36 -63 -35
-64 -34 -63 -33
-64 -32 -63 -31
-64 -30 -63 -29
-64 -28 -63 -27
-64 -26 -63 -25
-64 -24 -63 -23
-64 -22 -63 -21
-64 -20 -63 -19
-64 -18 -63 -17
-64 -16 -63 -15
-64 -14 -63 -13
-64 -12 -63 -11
-64 -10 -63 -9
-64 -8 -63 -7
-64 -6 -63 -5
-64 -4 -63 -3
-64 -2 -63 -1
-64 0 -63 1
-64 2 -63 3
-64 4 -63 5
-64 6 -63 7
-64 8 -63 9
-64 10 -63 11
-64 12 -63 13
-64 14 -63 15
-64 16 -63 17
-64 18 -63 19
-64 20 -63 21
-64 22 -63 23
-64 24 -63 25
-64 26 -63 27
-64 28 -63 29
-64 30 -63 31
-64 32 -63 33
-64 34 -63 35
-64 36 -63 37
-64 38 -63 39
-64 40 -63 41
-64 42 -63 43
-64 44 -63 45
-64 46 -63 47
-64 48 -63 49
-64 50 -63 51
-64 52 -63 53
-64 54 -63 55
-64 56 -63 57
-64 58 -63 59
-64 60 -63 61
-64 62 -63 63
-64 64 -63 65
-64 66 -63 67
-64 68 -63 69
-62 -70 -61 -69
-62 -68 -61 -67
-62 -66 -61 -65
-62 -64 -61 -63
-62 -62 -61 -61
-62 -60 -61 -59
-62 -58 -61 -57
-62 -56 -61 -55
-62 -54 -61 -53
-62 -52 -61 -51
-62 -50 -61 -49
-62 -48 -61 -47
-62 -46 -61 -45
-62 -44 -61 -43
-62 -42 -61 -41
-62 -40 -61 -39
-62 -38 -61 -37
-62 -36 -61 -35
-62 -34 -61 -33
-62 -32 -61 -31
-62 -30 -61 -29
-62 -28 -61 -27
-62 -26 -61 -25
-62 -24 -61 -23
-62 -22 -61 -21
-62 -20 -61 -19
-62 -18 -61 -17
-62 -16 -61 -15
-62 -14 -61 -13
-62 -12 -61 -11
-62 -10 -61 -9
-62 -8 -61 -7
-62 -6 -61 -5
-62 -4 -61 -3
-62 -2 -61 -1
-62 0 -61 1
-62 2 -61 3
-62 4 -61 5
-62 6 -61 7
-62 8 -61 9
-62 10 -61 11
-62 12 -61 13
-62 14 -61 15
-62 16 -61 17
-62 18 -61 19
-62 20 -61 21
-62 22 -61 23
-62 24 -61 25
-62 26 -61 27
-62 28 -61 29
-62 30 -61 31
-62 32 -61 33
-62 34 -61 35
-62 36 -61 37
-62 38 -61 39
-62 40 -61 41
-62 42 -61 43
-62 44 -61 45
-62 46 -61 47
-62 48 -61 49
-62 50 -61 51
-62 52 -61 53
-62 54 -61 55
-62 56 -61 57
-62 58 -61 59
-62 60 -61 61
-62 62 -61 63
-62 64 -61 65
-62 66 -61 67
-62 68 -61 69
-60 -70 -59 -69
-60 -68 -59 -67
-60 -66 -59 -65
-60 -64 -59 -63
-60 -62 -59 -61
-60 -60 -59 -59
-60 -58 -59 -57
-60 -56 -59 -55
-60 -54 -59 -53
-60 -52 -59 -51
-60 -50 -59 -49
-60 -48 -59 -47
-60 -46 -59 -45
-60 -44 -59 -43
-60 -42 -59 -41
-60 -40 -59 -39
-60 -38 -59 -37
-60 -36 -59 -35
-60 -34 -59 -33
-60 -32 -59 -31
-60 -30 -59 -29
-60 -28 -59 -27
-60 -26 -59 -25
-60 -24 -59 -23
-60 -22 -59 -21
-60 -20 -59 -19
-60 -18 -59 -17
-60 -16 -59 -15
-60 -14 -59 -13
-60 -12 -59 -11
-60 -10 -59 -9
-60 -8 -59 -7
-60 -6 -59 -5
-60 -4 -59 -3
-60 -2 -59 -1
-60 0 -59 1
-60 2 -59 3
-60 4 -59 5
-60 6 -59 7
-60 8 -59 9
-60 10 -59 11
-60 12 -59 13
-60 14 -59 15
-60 16 -59 17
-60 18 -59 19
-60 20 -59 21
-60 22 -59 23
-60 24 -59 25
-60 26 -59 27
-60 28 -59 29
-60 30 -59 31
-60 32 -59 33
-60 34 -59 35
-60 36 -59 37
-60 38 -59 39
-60 40 -59 41
-60 42 -59 43
-60 44 -59 45
-60 46 -59 47
-60 48 -59 49
-60 50 -59 51
-60 52 -59 53
-60 54 -59 55
-60 56 -59 57
-60 58 -59 59
-60 60 -59 61
-60 62 -59 63
-60 64 -59 65
-60 66 -59 67
-60 68 -59 69
-58 -70 -57 -69
-58 -68 -57 -67
-58 -66 -57 -65
-58 -64 -57 -63
-58 -62 -57 -61
-58 -60 -57 -59
-58 -58 -57 -57
-58 -56 -57 -55
-58 -54 -57 -53
-58 -52 -57 -51
-58 -50 -57 -49
-58 -48 -57 -47
-58 -46 -57 -45
-58 -44 -57 -43
-58 -42 -57 -41
-58 -40 -57 -39
-58 -38 -57 -37
-58 -36 -57 -35
-58 -34 -57 -33
-58 -32 -57 -31
-58 -30 -57 -29
-58 -28 -57 -27
-58 -26 -57 -25
-58 -24 -57 -23
-58 -22 -57 -21
-58 -20 -57 -19
-58 -18 -57 -17
-58 -16 -57 -15
-58 -14 -57 -13
-58 -12 -57 -11
-58 -10 -57 -9
-58 -8 -57 -7
-58 -6 -57 -5
-58 -4 -57 -3
-58 -2 -57 -1
-58 0 -57 1
-58 2 -57 3
-58 4 -57 5
-58 6 -57 7
-58 8 -57 9
-58 10 -57 11
-58 12 -57 13
-58 14 -57 15
-58 16 -57 17
-58 18 -57 19
-58 20 -57 21
-58 22 -57 23
-58 24 -57 25
-58 26 -57 27
-58 28 -57 29
-58 30 -57 31
-58 32 -57 33
-58 34 -57 35
-58 36 -57 37
-58 38 -57 39
-58 40 -57 41
-58 42 -57 43
-58 44 -57 45
-58 46 -57 47
-58 48 -57 49
-58 50 -57 51
-58 52 -57 53
-58 54 -57 55
-58 56 -57 57
-58 58 -57 59
-58 60 -57 61
-58 62 -57 63
-58 64 -57 65
-58 66 -57 67
-58 68 -57 69
-56 -70 -55 -69
-56 -68 -55 -67
-56 -66 -55 -65
-56 -64 -55 -63
-56 -62 -55 -61
-56 -60 -55 -59
-56 -58 -55 -57
-56 -56 -55 -55
-56 -54 -55 -53
-56 -52 -55 -51
-56 -50 -55 -49
-56 -48 -55 -47
-56 -46 -55 -45
-56 -44 -55 -43
-56 -42 -55 -41
-56 -40 -55 -39
-56 -38 -55 -37
-56 -36 -55 -35
-56 -34 -55 -33
-56 -32 -55 -31
-56 -30 -55 -29
-56 -28 -55 -27
-56 -26 -55 -25
-56 -24 -55 -23
-56 -22 -55 -21
-56 -20 -55 -19
-56 -18 -55 -17
-56 -16 -55 -15
-56 -14 -55 -13
-56 -12 -55 -11
-56 -10 -55 -9
-56 -8 -55 -7
-56 -6 -55 -5
-56 -4 -55 -3
-56 -2 -55 -1
-56 0 -55 1
-56 2 -55 3
-56 4 -55 5
-56 6 -55 7
-56 8 -55 9
-56 10 -55 11
-56 12 -55 13
-56 14 -55 15
-56 16 -55 17
-56 18 -55 19
-56 20 -55 21
-56 22 -55 23
-56 24 -55 25
-56 26 -55 27
-56 28 -55 29
-56 30 -55 31
-56 32 -55 33
-56 34 -55 35
-56 36 -55 37
-56 38 -55 39
-56 40 -55 41
-56 42 -55 43
-56 44 -55 45
-56 46 -55 47
-56 48 -55 49
-56 50 -55 51
-56 52 -55 53
-56 54 -55 55
-56 56 -55 57
-56 58 -55 59
-56 60 -55 61
-56 62 -55 63
-56 64 -55 65
-56 66 -55 67
-56 68 -55 69
-54 -70 -53 -69
-54 -68 -53 -67
-54 -66 -53 -65
-54 -64 -53 -63
-54 -62 -53 -61
-54 -60 -53 -59
-54 -58 -53 -57
-54 -56 -53 -55
-54 -54 -53 -53
-54 -52 -53 -51
-54 -50 -53 -49
-54 -48 -53 -47
-54 -46 -53 -45
-54 -44 -53 -43
-54 -42 -53 -41
-54 -40 -53 -39
-54 -38 -53 -37
-54 -36 -53 -35
-54 -34 -53 -33
-54 -32 -53 -31
-54 -30 -53 -29
-54 -28 -53 -27
-54 -26 -53 -25
-54 -24 -53 -23
-54 -22 -53 -21
-54 -20 -53 -19
-54 -18 -53 -17
-54 -16 -53 -15
-54 -14 -53 -13
-54 -12 -53 -11
-54 -10 -53 -9
-54 -8 -53 -7
-54 -6 -53 -5
-54 -4 -53 -3
-54 -2 -53 -1
-54 0 -53 1
-54 2 -53 3
-54 4 -53 5
-54 6 -53 7
-54 8 -53 9
-54 10 -53 11
-54 12 -53 13
-54 14 -53 15
-54 16 -53 17
-54 18 -53 19
-54 20 -53 21
-54 22 -53 23
-54 24 -53 25
-54 26 -53 27
-54 28 -53 29
-54 30 -53 31
-54 32 -53 33
-54 34 -53 35
-54 36 -53 37
-54 38 -53 39
-54 40 -53 41
-54 42 -53 43
-54 44 -53 45
-54 46 -53 47
-54 48 -53 49
-54 50 -53 51
-54 52 -53 53
-54 54 -53 55
-54 56 -53 57
-54 58 -53 59
-54 60 -53 61
-54 62 -53 63
-54 64 -53 65
-54 66 -53 67
-54 68 -53 69
-52 -70 -51 -69
-52 -68 -51 -67
-52 -66 -51 -65
-52 -64 -51 -63
-52 -62 -51 -61
-52 -60 -51 -59
-52 -58 -51 -57
-52 -56 -51 -55
-52 -54 -51 -53
-52 -52 -51 -51
-52 -50 -51 -49
-52 -48 -51 -47
-52 -46 -51 -45
-52 -44 -51 -43
-52 -42 -51 -41
-52 -40 -51 -39
-52 -38 -51 -37
-52 -36 -51 -35
-52 -34 -51 -33
-52 -32 -51 -31
-52 -30 -51 -29
-52 -28 -51 -27
-52 -26 -51 -25
-52 -24 -51 -23
-52 -22 -51 -21
-52 -20 -51 -19
-52 -18 -51 -17
-52 -16 -51 -15
-52 -14 -51 -13
-52 -12 -51 -11
-52 -10 -51 -9
-52 -8 -51 -7
-52 -6 -51 -5
-52 -4 -51 -3
-52 -2 -51 -1
-52 0 -51 1
-52 2 -51 3
-52 4 -51 5
-52 6 -51 7
-52 8 -51 9
-52 10 -51 11
-52 12 -51 13
-52 14 -51 15
-52 16 -51 17
-52 18 -51 19
-52 20 -51 21
-52 22 -51 23
-52 24 -51 25
-52 26 -51 27
-52 28 -51 29
-52 30 -51 31
-52 32 -51 33
-52 34 -51 35
-52 36 -51 37
-52 38 -51 39
-52 40 -51 41
-52 42 -51 43
-52 44 -51 45
-52 46 -51 47
-52 48 -51 49
-52 50 -51 51
-52 52 -51 53
-52 54 -51 55
-52 56 -51 57
-52 58 -51 59
-52 60 -51 61
-52 62 -51 63
-52 64 -51 65
-52 66 -51 67
-52 68 -51 69
-50 -70 -49 -69
-50 -68 -49 -67
-50 -66 -49 -65
-50 -64 -49 -63
-50 -62 -49 -61
-50 -60 -49 -59
-50 -58 -49 -57
-50 -56 -49 -55
-50 -54 -49 -53
-50 -52 -49 -51
-50 -50 -49 -49
-50 -48 -49 -47
-50 -46 -49 -45
-50 -44 -49 -43
-50 -42 -49 -41
-50 -40 -49 -39
-50 -38 -49 -37
-50 -36 -49 -35
-50 -34 -49 -33
-50 -32 -49 -31
-50 -30 -49 -29
-50 -28 -49 -27
-50 -26 -49 -25
-50 -24 -49 -23
-50 -22 -49 -21
-50 -20 -49 -19
-50 -18 -49 -17
-50 -16 -49 -15
-50 -14 -49 -13
-50 -12 -49 -11
-50 -10 -49 -9
-50 -8 -49 -7
-50 -6 -49 -5
-50 -4 -49 -3
-50 -2 -49 -1
-50 0 -49 1
-50 2 -49 3
-50 4 -49 5
-50 6 -49 7
-50 8 -49 9
-50 10 -49 11
-50 12 -49 13
-50 14 -49 15
-50 16 -49 17
-50 18 -49 19
-50 20 -49 21
-50 22 -49 23
-50 24 -49 25
-50 26 -49 27
-50 28 -49 29
-50 30 -49 31
-50 32 -49 33
-50 34 -49 35
-50 36 -49 37
-50 38 -49 39
-50 40 -49 41
-50 42 -49 43
-50 44 -49 45
-50 46 -49 47
-50 48 -49 49
-50 50 -49 51
-50 52 -49 53
-50 54 -49 55
-50 56 -49 57
-50 58 -49 59
-50 60 -49 61
-50 62 -49 63
-50 64 -49 65
-50 66 -49 67
-50 68 -49 69
-48 -70 -47 -69
-48 -68 -47 -67
-48 -66 -47 -65
-48 -64 -47 -63
-48 -62 -47 -61
-48 -60 -47 -59
-48 -58 -47 -57
-48 -56 -47 -55
-48 -54 -47 -53
-48 -52 -47 -51
-48 -50 -47 -49
-48 -48 -47 -47
-48 -46 -47 -45
-48 -44 -47 -43
-48 -42 -47 -41
-48 -40 -47 -39
-48 -38 -47 -37
-48 -36 -47 -35
-48 -34 -47 -33
-48 -32 -47 -31
-48 -30 -47 -29
-48 -28 -47 -27
-48 -26 -47 -25
-48 -24 -47 -23
-48 -22 -47 -21
-48 -20 -47 -19
-48 -18 -47 -17
-48 -16 -47 -15
-48 -14 -47 -13
-48 -12 -47 -11
-48 -10 -47 -9
-48 -8 -47 -7
-48 -6 -47 -5
-48 -4 -47 -3
-48 -2 -47 -1
-48 0 -47 1
-48 2 -47 3
-48 4 -47 5
-48 6 -47 7
-48 8 -47 9
-48 10 -47 11
-48 12 -47 13
-48 14 -47 15
-48 16 -47 17
-48 18 -47 19
-48 20 -47 21
-48 22 -47 23
-48 24 -47 25
-48 26 -47 27
-48 28 -47 29
-48 30 -47 31
-48 32 -47 33
-48 34 -47 35
-48 36 -47 37
-48 38 -47 39
-48 40 -47 41
-48 42 -47 43
-48 44 -47 45
-48 46 -47 47
-48 48 -47 49
-48 50 -47 51
-48 52 -47 53
-48 54 -47 55
-48 56 -47 57
-48 58 -47 59
-48 60 -47 61
-48 62 -47 63
-48 64 -47 65
-48 66 -47 67
-48 68 -47 69
-46 -70 -45 -69
-46 -68 -45 -67
-46 -66 -45 -65
-46 -64 -45 -63
-46 -62 -45 -61
-46 -60 -45 -59
-46 -58 -45 -57
-46 -56 -45 -55
-46 -54 -45 -53
-46 -52 -45 -51
-46 -50 -45 -49
-46 -48 -45 -47
-46 -46 -45 -45
-46 -44 -45 -43
-46 -42 -45 -41
-46 -40 -45 -39
-46 -38 -45 -37
-46 -36 -45 -35
-46 -34 -45 -33
-46 -32 -45 -31
-46 -30 -45 -29
-46 -28 -45 -27
-46 -26 -45 -25
-46 -24 -45 -23
-46 -22 -45 -21
-46 -20 -45 -19
-46 -18 -45 -17
-46 -16 -45 -15
-46 -14 -45 -13
-46 -12 -45 -11
-46 -10 -45 -9
-46 -8 -45 -7
-46 -6 -45 -5
-46 -4 -45 -3
-46 -2 -45 -1
-46 0 -45 1
-46 2 -45 3
-46 4 -45 5
-46 6 -45 7
-46 8 -45 9
-46 10 -45 11
-46 12 -45 13
-46 14 -45 15
-46 16 -45 17
-46 18 -45 19
-46 20 -45 21
-46 22 -45 23
-46 24 -45 25
-46 26 -45 27
-46 28 -45 29
-46 30 -45 31
-46 32 -45 33
-46 34 -45 35
-46 36 -45 37
-46 38 -45 39
-46 40 -45 41
-46 42 -45 43
-46 44 -45 45
-46 46 -45 47
-46 48 -45 49
-46 50 -45 51
-46 52 -45 53
-46 54 -45 55
-46 56 -45 57
-46 58 -45 59
-46 60 -45 61
-46 62 -45 63
-46 64 -45 65
-46 66 -45 67
-46 68 -45 69
-44 -70 -43 -69
-44 -68 -43 -67
-44 -66 -43 -65
-44 -64 -43 -63
-44 -62 -43 -61
-44 -60 -43 -59
-44 -58 -43 -57
-44 -56 -43 -55
-44 -54 -43 -53
-44 -52 -43 -51
-44 -50 -43 -49
-44 -48 -43 -47
-44 -46 -43 -45
-44 -44 -43 -43
-44 -42 -43 -41
-44 -40 -43 -39
-44 -38 -43 -37
-44 -36 -43 -35
-44 -34 -43 -33
-44 -32 -43 -31
-44 -30 -43 -29
-44 -28 -43 -27
-44 -26 -43 -25
-44 -24 -43 -23
-44 -22 -43 -21
-44 -20 -43 -19
-44 -18 -43 -17
-44 -16 -43 -15
-44 -14 -43 -13
-44 -12 -43 -11
-44 -10 -43 -9
-44 -8 -43 -7
-44 -6 -43 -5
-44 -4 -43 -3
-44 -2 -43 -1
-44 0 -43 1
-44 2 -43 3
-44 4 -43 5
-44 6 -43 7
-44 8 -43 9
-44 10 -43 11
-44 12 -43 13
-44 14 -43 15
-44 16 -43 17
-44 18 -43 19
-44 20 -43 21
-44 22 -43 23
-44 24 -43 25
-44 26 -43 27
-44 28 -43 29
-44 30 -43 31
-44 32 -43 33
-44 34 -43 35
-44 36 -43 37
-44 38 -43 39
-44 40 -43 41
-44 42 -43 43
-44 44 -43 45
-44 46 -43 47
-44 48 -43 49
-44 50 -43 51
-44 52 -43 53
-44 54 -43 55
-44 56 -43 57
-44 58 -43 59
-44 60 -43 61
-44 62 -43 63
-44 64 -43 65
-44 66 -43 67
-44 68 -43 69
-42 -70 -41 -69
-42 -68 -41 -67
-42 -66 -41 -65
-42 -64 -41 -63
-42 -62 -41 -61
-42 -60 -41 -59
-42 -58 -41 -57
-42 -56 -41 -55
-42 -54 -41 -53
-42 -52 -41 -51
-42 -50 -41 -49
-42 -48 -41 -47
-42 -46 -41 -45
-42 -44 -41 -43
-42 -42 -41 -41
-42 -40 -41 -39
-42 -38 -41 -37
-42 -36 -41 -35
-42 -34 -41 -33
-42 -32 -41 -31
-42 -30 -41 -29
-42 -28 -41 -27
-42 -26 -41 -25
-42 -24 -41 -23
-42 -22 -41 -21
-42 -20 -41 -19
-42 -18 -41 -17
-42 -16 -41 -15
-42 -14 -41 -13
-42 -12 -41 -11
-42 -10 -41 -9
-42 -8 -41 -7
-42 -6 -41 -5
-42 -4 -41 -3
-42 -2 -41 -1
-42 0 -41 1
-42 2 -41 3
-42 4 -41 5
-42 6 -41 7
-42 8 -41 9
-42 10 -41 11
-42 12 -41 13
-42 14 -41 15
-42 16 -41 17
-42 18 -41 19
-42 20 -41 21
-42 22 -41 23
-42 24 -41 25
-42 26 -41 27
-42 28 -41 29
-42 30 -41 31
-42 32 -41 33
-42 34 -41 35
-42 36 -41 37
-42 38 -41 39
-42 40 -41 41
-42 42 -41 43
-42 44 -41 45
-42 46 -41 47
-42 48 -41 49
-42 50 -41 51
-42 52 -41 53
-42 54 -41 55
-42 56 -41 57
-42 58 -41 59
-42 60 -41 61
-42 62 -41 63
-42 64 -41 65
-42 66 -41 67
-42 68 -41 69
-40 -70 -39 -69
-40 -68 -39 -67
-40 -66 -39 -65
-40 -64 -39 -63
-40 -62 -39 -61
-40 -60 -39 -59
-40 -58 -39 -57
-40 -56 -39 -55
-40 -54 -39 -53
-40 -52 -39 -51
-40 -50 -39 -49
-40 -48 -39 -47
-40 -46 -39 -45
-40 -44 -39 -43
-40 -42 -39 -41
-40 -40 -39 -39
-40 -38 -39 -37
-40 -36 -39 -35
-40 -34 -39 -33
-40 -32 -39 -31
-40 -30 -39 -29
-40 -28 -39 -27
-40 -26 -39 -25
-40 -24 -39 -23
-40 -22 -39 -21
-40 -20 -39 -19
-40 -18 -39 -17
-40 -16 -39 -15
-40 -14 -39 -13
-40 -12 -39 -11
-40 -10 -39 -9
-40 -8 -39 -7
-40 -6 -39 -5
-40 -4 -39 -3
-40 -2 -39 -1
-40 0 -39 1
-40 2 -39 3
-40 4 -39 5
-40 6 -39 7
-40 8 -39 9
-40 10 -39 11
-40 12 -39 13
-40 14 -39 15
-40 16 -39 17
-40 18 -39 19
-40 20 -39 21
-40 22 -39 23
-40 24 -39 25
-40 26 -39 27
-40 28 -39 29
-40 30 -39 31
-40 32 -39 33
-40 34 -39 35
-40 36 -39 37
-40 38 -39 39
-40 40 -39 41
-40 42 -39 43
-40 44 -39 45
-40 46 -39 47
-40 48 -39 49
-40 50 -39 51
-40 52 -39 53
-40 54 -39 55
-40 56 -39 57
-40 58 -39 59
-40 60 -39 61
-40 62 -39 63
-40 64 -39 65
-40 66 -39 67
-40 68 -39 69
-38 -70 -37 -69
-38 -68 -37 -67
-38 -66 -37 -65
-38 -64 -37 -63
-38 -62 -37 -61
-38 -60 -37 -59
-38 -58 -37 -57
-38 -56 -37 -55
-38 -54 -37 -53
-38 -52 -37 -51
-38 -50 -37 -49
-38 -48 -37 -47
-38 -46 -37 -45
-38 -44 -37 -43
-38 -42 -37 -41
-38 -40 -37 -39
-38 -38 -37 -37
-38 -36 -37 -35
-38 -34 -37 -33
-38 -32 -37 -31
-38 -30 -37 -29
-38 -28 -37 -27
-38 -26 -37 -25
-38 -24 -37 -23
-38 -22 -37 -21
-38 -20 -37 -19
-38 -18 -37 -17
-38 -16 -37 -15
-38 -14 -37 -13
-38 -12 -37 -11
-38 -10 -37 -9
-38 -8 -37 -7
-38 -6 -37 -5
-38 -4 -37 -3
-38 -2 -37 -1
-38 0 -37 1
-38 2 -37 3
-38 4 -37 5
-38 6 -37 7
-38 8 -37 9
-38 10 -37 11
-38 12 -37 13
-38 14 -37 15
-38 16 -37 17
-38 18 -37 19
-38 20 -37 21
-38 22 -37 23
-38 24 -37 25
-38 26 -37 27
-38 28 -37 29
-38 30 -37 31
-38 32 -37 33
-38 34 -37 35
-38 36 -37 37
-38 38 -37 39
-38 40 -37 41
-38 42 -37 43
-38 44 -37 45
-38 46 -37 47
-38 48 -37 49
-38 50 -37 51
-38 52 -37 53
-38 54 -37 55
-38 56 -37 57
-38 58 -37 59
-38 60 -37 61
-38 62 -37 63
-38 64 -37 65
-38 66 -37 67
-38 68 -37 69
-36 -70 -35 -69
-36 -68 -35 -67
-36 -66 -35 -65
-36 -64 -35 -63
-36 -62 -35 -61
-36 -60 -35 -59
-36 -58 -35 -57
-36 -56 -35 -55
-36 -54 -35 -53
-36 -52 -35 -51
-36 -50 -35 -49
-36 -48 -35 -47
-36 -46 -35 -45
-36 -44 -35 -43
-36 -42 -35 -41
-36 -40 -35 -39
