------- test 1 [length 39 bytes] ----
5 4
154 128 109368
66 75 261838
91 110 97314
103 68 16560
15 170 52828
170 84 19250
125 159 33300
129 199 481887
4 112 152482
14 130 216112
185 59 603099
127 162 384888
44 85 264600
137 99 160038
55 169 58720
36 147 141354
163 26 327262
5 142 185472
129 150 247764
105 106 25193
158 119 98928
130 94 360690
33 149 434420
31 165 571980
65 140 175080
163 56 901033
8 97 35
158 200 633027
------- test 10 [length 2455 bytes] ----
199 50
1 46 250104
1 24 899262
1 15 80055
1 37 50603
1 49 37800
37 38 320870
37 6 86811
15 2 22244
1 45 181373
49 7 3544
15 12 403604
46 8 690720
37 28 263412
1 40 71370
12 48 28404
8 21 7326
15 43 332310
12 11 690228
21 27 75225
46 3 442950
2 25 297960
15 4 267467
45 5 13432
12 35 141492
27 23 215600
3 34 369600
37 9 4905
12 14 300744
14 19 364040
27 20 382396
49 10 641823
2 41 81153
9 32 167510
5 44 271219
4 16 11184
23 29 275502
11 42 432078
14 18 16965
48 33 273456
23 39 139384
40 31 97567
4 26 188246
16 47 138980
8 22 172577
33 36 111230
7 30 21054
3 17 41181
5 13 528858
29 50 240760
43 47 277514
36 41 842506
13 33 186456
34 9 21403
43 45 459825
25 37 336474
24 17 141200
11 50 513535
34 17 504672
36 7 4802
33 36 867825
23 46 438080
33 38 472428
27 37 137200
4 14 12768
40 38 559647
2 48 738568
7 14 164388
39 29 200506
35 1 197524
33 30 1466
32 43 47244
26 34 146772
22 14 375396
4 23 362168
49 17 155016
27 22 231660
5 25 367584
11 44 781568
39 36 356481
22 50 597300
14 27 8168
19 5 5796
12 24 107141
10 2 3480
8 20 13870
5 31 537591
46 50 682864
41 12 36900
14 31 385176
46 32 438240
38 44 278784
23 33 24855
20 37 124640
23 17 56100
43 19 22176
4 49 434241
21 28 137952
5 18 161568
18 37 176190
22 4 309675
10 31 619548
46 5 206796
17 30 195552
48 14 479076
25 25 100744
33 6 308913
34 16 70252
32 34 60096
40 9 58312
24 25 199800
48 20 940975
39 35 604435
13 27 437852
42 13 82490
16 42 60030
1 16 695520
22 29 544479
25 34 347529
15 28 559302
5 22 77670
17 44 334730
12 34 172676
38 33 640533
42 18 245232
9 49 134067
39 13 59784
39 45 452956
47 5 156144
15 35 62434
40 40 66185
22 4 72220
44 38 9345
2 30 52908
29 23 775795
38 14 561150
38 46 221040
29 12 122920
1 28 754444
31 23 297570
14 50 729150
45 35 133163
23 49 618300
26 29 312698
21 31 127428
28 39 259644
32 24 84576
27 10 3081
27 1 125928
30 27 465660
23 4 198066
11 35 536400
7 22 763152
25 29 31218
46 27 197547
16 37 176700
33 20 46629
43 22 486783
1 28 797534
44 30 483055
28 9 144676
28 49 172692
26 15 273916
48 27 72267
49 8 107793
16 37 648375
47 35 450730
28 11 97118
38 8 128280
41 17 16264
21 42 7362
22 3 38222
13 45 25545
24 41 87945
25 18 641704
5 30 865890
11 13 91368
15 2 294
5 39 502860
27 42 207162
34 37 649272
40 3 797760
17 46 673816
14 37 171133
40 41 397432
43 26 209860
20 13 377578
3 22 129602
40 16 113982
30 46 324170
24 14 226278
40 37 588795
38 38 50015
15 10 1438
28 46 585600
29 22 144485
30 41 410167
9 43 522180
20 44 328968
16 34 88950
------- test 11 [length 2505 bytes] ----
200 100
1 4 17085
4 28 189225
28 16 63288
4 2 759330
16 62 414178
2 36 329440
4 95 583020
1 69 197298
36 80 826454
80 27 113169
80 68 46128
36 96 314100
96 3 144330
62 85 606276
85 32 533664
28 24 228683
3 23 41938
36 41 235512
2 81 186348
80 77 673456
16 94 53760
28 47 116987
80 56 23358
3 15 226238
62 63 641900
41 54 67104
77 92 18080
80 37 18210
77 30 63600
2 93 528
27 7 30618
69 66 164679
81 60 204435
23 59 113924
85 61 667234
16 12 314560
94 73 60540
92 43 64864
95 42 78672
56 39 7450
54 31 383474
96 8 378144
60 21 132550
77 45 501228
32 34 18296
39 83 699100
77 74 428168
31 78 577348
77 44 360308
85 72 219516
80 25 242208
68 38 397244
44 84 338688
96 76 94952
27 64 450300
32 51 121770
95 79 66774
64 82 425295
84 90 43204
81 65 154175
74 40 21280
72 26 36400
76 18 31994
73 46 138437
84 98 10650
92 70 210120
54 11 142410
28 10 109740
66 14 336050
93 35 283272
66 48 143118
48 58 670842
59 75 57928
3 89 23560
28 53 150960
36 71 412850
32 97 267540
76 33 142679
76 5 124960
89 20 801073
44 55 322368
93 22 167139
55 57 267267
33 17 16659
51 87 67580
81 13 345840
40 9 368874
53 50 546845
46 52 290168
61 86 359904
92 29 158116
46 49 3084
76 19 250523
7 6 339957
77 88 255360
80 67 617056
81 91 198496
10 99 699152
62 100 50268
68 33 88892
83 70 523625
39 28 358620
49 80 247150
74 4 618017
97 42 489
16 83 183690
19 36 162648
95 29 8520
51 94 667554
73 63 19116
22 49 25715
89 37 40712
9 42 23484
38 79 1664
20 93 519360
39 92 478080
68 36 28536
33 21 468534
79 15 825968
86 80 193629
97 43 158484
10 43 449445
9 25 132940
79 98 2225
77 39 494856
90 57 7872
92 86 57204
1 41 32648
32 95 48815
4 13 14525
33 99 151704
6 89 170148
74 64 109214
21 93 97524
82 89 117819
68 95 218337
36 67 511648
95 93 284171
89 98 17072
7 72 206205
10 84 67746
2 15 418095
25 66 510300
31 82 75900
84 40 505300
66 51 135366
31 23 901048
74 20 41076
85 91 444726
13 74 309582
48 73 198288
33 8 476470
7 13 447492
96 22 644787
61 87 413376
5 73 154440
56 90 46995
40 88 279105
32 83 233232
23 44 255424
85 100 490842
73 7 57022
39 21 334356
96 34 56800
32 4 733125
70 41 759782
13 85 36925
49 28 120888
54 32 256200
85 71 599874
75 72 745752
53 73 432174
73 70 257890
92 81 444988
76 81 22609
67 62 789351
4 52 32844
24 46 195975
34 100 83454
77 25 260160
95 42 636572
2 22 341784
65 92 499310
33 15 580903
73 23 107787
83 30 280178
32 84 382230
79 93 160881
68 87 630240
93 45 215514
72 53 597958
6 20 88416
59 20 620682
63 85 166897
40 16 102355
70 42 481932
10 90 91377
68 95 446896
44 14 51465
48 77 101680
------- test 12 [length 4 bytes] ----
0 2
