------- test 1 [length 4 bytes] ----
1
3
------- test 2 [length 24 bytes] ----
10
1 2 3 4 5 6 7 8 9 10
77 392 112 95 14 460 103 761 775 242
379 23 748 86 47 569 419 525 491 318
325 188 1 217 27 76 766 681 789 152
------- test 8 [length 1896 bytes] ----
400
3992 4000 3972 3980 3952 3960 3932 3940 3912 3920 3892 3900 3872
3880 3852 3860 3832 3840 3812 3820 3792 3800 3772 3780 3752 3760
3732 3740 3712 3720 3692 3700 3672 3680 3652 3660 3632 3640 3612
3620 3592 3600 3572 3580 3552 3560 3532 3540 3512 3520 3492 3500
3472 3480 3452 3460 3432 3440 3412 3420 3392 3400 3372 3380 3352
3360 3332 3340 3312 3320 3292 3300 3272 3280 3252 3260 3232 3240
3212 3220 3192 3200 3172 3180 3152 3160 3132 3140 3112 3120 3092
3100 3072 3080 3052 3060 3032 3040 3012 3020 2992 3000 2972 2980
2952 2960 2932 2940 2912 2920 2892 2900 2872 2880 2852 2860 2832
2840 2812 2820 2792 2800 2772 2780 2752 2760 2732 2740 2712 2720
2692 2700 2672 2680 2652 2660 2632 2640 2612 2620 2592 2600 2572
2580 2552 2560 2532 2540 2512 2520 2492 2500 2472 2480 2452 2460
2432 2440 2412 2420 2392 2400 2372 2380 2352 2360 2332 2340 2312
2320 2292 2300 2272 2280 2252 2260 2232 2240 2212 2220 2192 2200
2172 2180 2152 2160 2132 2140 2112 2120 2092 2100 2072 2080 2052
2060 2032 2040 2012 2020 1992 2000 1972 1980 1952 1960 1932 1940
1912 1920 1892 1900 1872 1880 1852 1860 1832 1840 1812 1820 1792
1800 1772 1780 1752 1760 1732 1740 1712 1720 1692 1700 1672 1680
1652 1660 1632 1640 1612 1620 1592 1600 1572 1580 1552 1560 1532
1540 1512 1520 1492 1500 1472 1480 1452 1460 1432 1440 1412 1420
1392 1400 1372 1380 1352 1360 1332 1340 1312 1320 1292 1300 1272
1280 1252 1260 1232 1240 1212 1220 1192 1200 1172 1180 1152 1160
1132 1140 1112 1120 1092 1100 1072 1080 1052 1060 1032 1040 1012
1020 992 1000 972 980 952 960 932 940 912 920 892 900 872 880 852
860 832 840 812 820 792 800 772 780 752 760 732 740 712 720 692
700 672 680 652 660 632 640 612 620 592 600 572 580 552 560 532
540 512 520 492 500 472 480 452 460 432 440 412 420 392 400 372 380
352 360 332 340 312 320 292 300 272 280 252 260 232 240 212 220 192
200 172 180 152 160 132 140 112 120 92 100 72 80 52 60 32 40 12 20
------- test 9 [length 7923 bytes] ----
2000
1061 746 503 758 1195 1080 1057 85 144 792
318 36 1095 404 1062 201 671 895 503 655
402 476 822 226 225 1166 1 369 1126 896
1045 984 439 346 542 435 228 401 523 376
39 847 419 1102 61 292 115 745 48 633
215 418 1127 1055 664 172 1043 687 564 994
408 436 805 876 812 177 142 1072 611 699
284 646 384 742 588 485 1075 746 73 1120
224 335 386 200 240 1100 423 135 641 1042
74 1106 335 848 841 8 1086 1046 42 562
610 294 76 1062 10 735 419 1054 354 566
1049 655 979 313 934 99 295 240 317 1021
167 388 1014 591 126 746 690 105 685 728
762 192 52 937 154 62 573 675 22 1032
147 1039 595 34 262 439 244 670 793 676
606 28 134 539 587 228 206 200 456 1015
14 145 135 66 11 419 127 717 27 148
684 311 128 217 484 359 798 871 150 535
493 724 559 623 212 97 1003 571 451 413
542 462 715 835 525 887 215 649 567 407
794 217 885 918 604 340 248 374 185 395
95 854 97 623 457 490 902 442 44 337
61 772 9 745 597 502 623 32 144 184
408 166 599 292 86 204 833 303 781 22
904 873 126 9 505 551 710 419 6 17
22 64 758 31 82 376 502 673 404 871
143 100 95 710 360 181 211 225 452 30
483 392 872 605 641 417 198 393 158 449
407 180 760 214 211 838 842 681 564 300
607 703 397 699 473 112 876 680 306 393
707 156 155 647 730 764 136 307 231 291
725 25 467 563 208 674 482 132 439 130
718 132 243 203 244 684 311 215 458 40
577 262 196 728 8 30 593 447 337 267
183 171 292 618 702 468 404 297 61 306
743 747 407 135 70 648 788 703 18 371
740 563 122 96 420 99 125 145 47 92
409 229 260 697 816 102 307 363 742 364
665 632 259 221 763 679 20 704 536 34
230 433 146 348 525 535 5 647 242 51
305 619 280 533 486 270 213 372 601 133
705 443 733 142 257 677 3 245 564 142
665 401 544 31 718 259 534 719 99 2
767 400 590 276 133 276 109 342 645 353
471 556 6 412 352 263 300 323 477 79
462 358 476 224 385 414 161 142 357 229
141 350 318 422 622 419 666 431 463 546
314 173 340 317 554 688 576 97 255 297
622 445 384 346 638 23 12 82 134 112
279 22 431 594 443 314 275 375 39 33
189 321 206 498 411 34 457 262 100 496
528 509 428 221 138 347 244 119 425 347
227 512 365 470 399 130 78 643 505 116
3 163 406 209 494 149 242 256 411 311
212 248 159 492 469 297 153 166 384 547
378 479 408 65 394 251 194 468 217 139
581 216 191 316 421 119 461 27 372 238
307 491 485 463 408 379 132 558 466 485
450 262 342 237 324 90 456 514 527 28
9 465 194 197 140 583 274 561 5 14
198 281 504 82 113 286 430 242 220 301
102 50 532 441 286 236 528 128 134 439
125 150 292 315 315 447 290 13 380 292
26 605 602 530 53 118 179 522 329 396
182 479 443 123 333 170 416 276 298 518
134 391 116 394 126 400 294 495 410 101
215 432 44 153 422 192 268 37 46 32
402 335 507 283 426 311 450 316 587 224
282 40 65 398 567 159 253 174 139 120
272 353 12 467 475 433 658 206 470 171
403 341 506 382 97 406 693 22 13 79
245 292 88 310 200 167 438 452 309 92
571 67 445 583 55 413 290 713 116 285
154 518 626 189 166 722 595 392 5 116
471 247 376 70 97 118 236 50 570 63
142 390 99 586 523 150 243 339 417 355
623 100 432 48 289 131 3 116 522 312
229 222 100 144 289 196 258 98 246 403
161 387 344 228 189 82 715 771 5 343
684 627 31 322 675 320 46 243 3 568
555 200 360 654 717 222 44 551 320 287
144 480 283 97 290 55 147 188 7 148
116 309 394 144 224 243 86 269 111 88
6 665 257 363 119 605 217 131 317 537
24 67 174 303 160 106 354 767 263 825
534 846 282 74 613 157 794 699 426 46
786 62 370 674 57 488 79 274 256 33
810 248 69 626 190 745 731 187 311 641
689 845 287 622 571 15 778 165 398 4
180 293 65 239 658 121 727 736 394 84
769 4 902 510 629 765 54 159 629 365
800 117 9 174 738 580 786 316 745 264
319 614 244 384 852 623 504 379 159 898
161 928 902 129 237 330 627 291 489 55
656 89 172 665 231 910 44 760 26 789
742 345 202 708 728 99 131 32 232 290
930 392 17 631 253 254 961 879 544 249
934 229 338 133 664 312 815 708 93 840
296 613 202 497 120 711 350 251 743 582
540 472 973 557 108 26 810 863 905 154
112 639 153 249 544 817 560 159 324 431
998 620 31 982 102 148 493 266 214 35
847 753 506 620 109 408 646 919 70 350
43 150 988 26 230 332 842 789 490 127
19 287 585 19 69 500 1025 561 766 38
596 413 790 49 1033 899 310 478 618 379
827 490 360 615 515 589 946 157 178 235
122 196 522 706 58 591 6 5 74 772
39 547 102 709 448 1017 407 757 294 1025
46 30 314 296 536 829 885 282 986 1062
517 6 58 1039 613 115 429 618 88 380
190 4 927 174 623 175 74 1029 932 284
854 868 205 45 39 740 797 847 1022 582
708 338 489 766 176 1101 880 605 519 876
984 708 790 711 882 212 885 871 41 617
5 894 284 159 861 247 899 457 1093 720
1039 601 1057 327 166 33 227 1046 637 746
721 421 254 311 1131 1135 522 816 805 562
232 760 256 515 918 1117 762 616 373 654
136 211 55 1193 538 221 25 764 67 661
310 787 1082 563 1098 1012 497 419 627 102
981 859 861 36 174 578 1152 935 1194 325
388 130 536 443 122 1073 664 146 637 730
807 946 317 688 308 214 500 804 633 1127
905 413 785 565 449 958 1142 400 692 1136
725 1080 65 60 322 186 1132 986 332 568
516 1139 313 833 627 620 1046 1126 224 479
1052 1128 891 636 492 139 394 434 539 1085
370 63 964 434 122 86 620 54 1072 952
622 387 891 934 19 317 354 1065 243 578
343 95 505 33 731 997 172 1124 231 710
1008 600 772 772 1034 894 857 454 947 729
206 368 1115 1096 102 1133 213 456 997 455
1033 139 549 338 172 79 134 343 3 364
1052 1011 964 624 582 798 317 239 52 64
967 257 432 881 152 533 814 364 989 611
819 821 750 168 1158 921 247 92 64 249
455 1116 59 219 539 641 1017 856 879 1068
919 646 124 150 327 276 683 1140 640 471
550 258 92 99 425 49 1020 672 140 1083
920 595 998 978 814 336 419 630 1192 97
497 910 742 620 1060 1068 896 543 1008 335
1013 357 593 1104 456 1017 1153 275 489 93
158 208 687 1155 1186 301 291 404 930 282
501 227 1192 42 846 1051 1110 542 394 918
876 206 75 268 110 530 85 62 805 573
155 962 780 842 917 766 1142 7 1169 872
288 469 1098 280 511 744 131 421 85 524
138 960 729 212 27 839 742 112 901 347
684 1055 109 264 696 1025 1029 638 1031 998
309 119 267 206 398 778 949 528 1198 1033
1051 136 792 580 348 819 219 1090 931 1119
236 414 974 345 678 469 169 506 1106 1199
304 215 118 570 420 515 148 168 1042 145
1200 893 281 792 272 629 411 490 518 141
409 754 555 182 1098 32 651 66 538 557
65 841 771 182 211 1190 697 358 158 538
503 158 231 784 949 502 212 160 992 730
300 201 284 854 382 181 886 1033 247 223
389 312 1064 1160 494 74 1149 1190 432 107
528 935 264 758 519 13 60 731 172 1051
260 472 52 543 125 433 724 1010 266 971
33 654 83 1096 613 576 1170 562 565 402
668 1092 137 932 649 655 944 708 185 1115
559 445 386 610 987 511 1043 511 321 108
282 353 762 364 249 175 939 218 736 304
620 204 195 756 1135 844 210 879 352 395
793 910 839 1179 320 626 489 162 1136 809
270 217 1162 1031 581 210 5 320 428 741
623 1047 945 818 602 880 461 812 558 813
6 151 523 844 129 842 269 618 1004 205
226 74 422 188 1104 1002 397 1109 121 825
650 744 671 394 361 73 74 822 884 631
434 890 782 956 534 910 598 802 327 402
1007 553 475 228 741 379 30 1138 288 151
762 937 894 233 131 54 305 204 876 1189
835 109 879 416 1065 212 126 463 1014 453
864 820 1006 139 1048 546 517 1078 484 805
28 45 541 922 277 672 976 582 875 651
571 510 759 249 926 624 460 1051 1086 273
304 750 1093 109 888 941 655 205 818 1138
1009 846 1183 350 567 259 1021 342 841 695
992 211 5 551 459 930 1174 919 781 1060
1192 1084 609 1084 1193 297 824 647 501 442
585 310 87 567 659 654 826 479 995 467
1174 787 677 1179 137 1136 908 111 854 488
1170 845 372 579 729 364 875 353 1011 176
794 395 485 881 962 1144 334 587 423 129
1053 397 915 530 375 1052 465 82 1162 119
570 1132 964 941 511 492 104 185 845 1114
361 439 309 846 119 70 789 453 657 11
581 510 407 296 1039 781 147 304 863 108
423 232 40 186 1172 550 678 76 735 322
1190 1095 761 298 741 879 367 329 132 1024
340 713 333 747 1008 172 328 1155 476 1190
63 898 222 102 1084 194 652 561 269 186
883 258 81 443 555 821 122 922 1150 253
746 290 966 1079 1036 773 50 164 728 525
153 790 223 375 891 106 568 342 667 836
528 349 1094 609 791 449 229 913 171 179
------- test 10 [length 26430 bytes] ----
5000
4718 18 19887 17551 9375 3376 7966 5372 5230 15044
16023 5255 15160 8877 11961 15814 13865 2128 4785 9055
18223 19393 11291 1343 7697 6945 1423 6721 2520 7650
14203 7235 7666 14088 4785 17042 17466 12754 2417 2700
7803 18447 7963 2971 7334 19934 18797 1212 2076 3597
10282 316 3007 1591 1679 10724 8558 3124 17469 11102
10800 11698 18365 18494 5816 3180 15567 3314 15967 18019
6050 3807 16504 14052 6817 3878 14028 5657 5133 16148
9299 15462 16512 12354 17102 18241 3130 5713 1418 654
16871 12274 12410 15294 10828 18286 18535 6458 1664 14567
4543 7781 18441 1115 1902 5329 5065 16002 11059 10273
12226 434 5812 8817 12868 2995 7139 16081 8791 8642
16820 5748 1003 9319 1132 11922 7697 19759 18473 9455
14421 3112 17334 12961 4327 19337 18391 9494 15443 9554
13 7776 10096 5793 16702 3075 8900 3953 19269 17806
12710 16206 3672 13832 5644 4924 5875 13463 4807 4473
3044 19354 7712 506 12445 12169 141 10968 1797 15552
658 1806 3465 10892 7739 307 14108 16782 4404 13522
14733 17260 9875 18553 11242 15669 3629 17270 9285 8590
1898 12486 8102 9768 13151 707 2099 13288 11839 4060
9006 12663 6034 12639 3725 13943 13117 18005 10898 17695
11702 5808 15133 1756 4541 6556 17606 8352 4009 7076
17127 6093 19749 5418 16051 13091 6316 18342 6573 18349
2598 15775 11210 8830 8613 15135 2975 1933 13344 14078
74 5252 93 15176 7218 4844 1943 5036 13410 6166
12328 10754 12477 12296 16391 8748 5608 2930 7314 12406
1505 10138 8408 12943 19197 17252 8309 2405 19419 1887
16718 19490 7377 17049 14905 14835 2135 17090 115 15789
3502 12690 6790 16227 5235 3432 5227 11096 6615 12795
3757 8376 3190 12424 1578 2648 9937 10150 5317 9621
12303 2301 9378 252 19620 4553 15056 2028 1917 15445
18092 5696 8412 5161 2202 13928 8875 7712 5307 15774
792 9350 4438 4271 2063 6307 7211 12293 16750 12822
2210 9350 15420 11886 9598 15341 16741 4956 17672 18963
707 16071 4966 9428 1542 7479 3667 10729 15504 9288
6818 16613 18956 11574 1203 1340 18203 8737 13957 15277
1884 16493 4955 17633 8708 14883 13305 5782 172 11312
5080 1215 7720 10384 10982 9602 18205 14992 674 14053
4626 7839 11013 3930 147 12567 5622 18318 1657 322
13951 3897 16783 19264 1890 5852 14508 15557 11997 15045
7234 17444 16628 15323 8198 7981 5296 6775 3346 6345
1203 8348 14562 12595 12658 14705 5543 18662 13407 7585
18981 7744 11869 16152 7397 14149 2396 2298 10100 14787
17739 17731 12628 14765 13453 1226 3148 19152 8405 6898
5903 10015 15654 873 3019 8723 15989 8975 7799 9810
16975 7196 17972 9263 3768 5790 3834 6586 8512 14358
1798 6677 12517 14855 1871 6401 16513 5452 5986 5352
12786 12325 15805 8878 13637 19264 18043 10069 8683 6286
325 6105 13930 18746 15817 18148 4987 103 5187 13953
14917 7441 1087 7892 2756 3419 14754 229 9334 1205
5549 2586 13997 1823 11934 8105 1559 10450 18648 10716
17211 19449 17298 11620 18674 13596 10249 4144 14183 15920
18582 9586 3849 158 17968 7095 4069 13215 7321 13898
14915 13367 16982 9411 15689 9417 18018 17750 370 17170
8972 18088 17127 6778 10217 16312 886 978 969 15583
17413 68 5687 1781 746 4175 9398 5337 17913 17243
321 13355 11137 17271 3296 7356 7219 1846 5639 8123
121 15147 6748 17217 2465 17505 14070 3894 19026 15583
22 16986 16199 6258 19316 17495 10984 9266 3386 9452
7065 3703 3365 18760 1533 7221 6677 9314 9630 12881
18003 9748 8596 5319 7534 11631 3396 2177 16099 2997
18336 16697 561 15113 3534 458 13189 15101 10308 17160
5139 17959 1450 9092 17308 3573 16904 4578 13481 7129
18054 12081 17474 7248 18000 5609 117 1998 8389 16184
5601 7332 13489 6770 3054 17634 7839 16856 13349 18761
14631 19104 17338 16699 8815 15266 894 6342 467 15000
14096 19148 7708 12199 7026 6338 18440 7139 8970 7463
3959 15207 15433 18087 2617 19127 16362 11098 16626 10355
10505 11904 10107 8491 9253 257 4409 10799 6567 5530
6455 1320 5336 14821 14178 13022 1820 13281 825 11454
1410 5450 7329 17511 4207 10616 17309 1241 2388 14610
12272 13570 7192 3057 2740 17125 3311 7832 8608 10563
14047 15749 12570 72 11259 7439 13785 13772 1413 15304
5922 3520 1452 13949 1730 6360 5267 478 8304 8359
15057 1283 2636 2957 5050 6087 793 9073 14632 10115
351 9396 6582 13640 10187 18561 1801 4695 13057 3939
725 466 8186 2906 14384 10646 9997 384 11121 19036
9478 6914 1056 12853 10611 6846 458 12147 16663 15058
3008 17761 5202 10338 12151 16140 9651 14704 1588 3462
189 3070 3925 8344 6735 19070 547 17494 217 11637
17295 10462 121 19120 4084 10700 6738 4538 3620 4175
372 7404 2714 6353 18521 15645 3274 8955 11133 5647
13202 11318 9504 17916 451 17030 17777 995 15317 18788
13427 13409 10047 13545 13329 14932 5046 870 274 9471
5851 1452 17682 9373 8614 17014 5829 12701 6782 17776
13 801 9912 9486 390 11183 7337 18135 13002 3478
17749 7255 17715 8624 1630 11875 4387 7508 13578 5495
17814 265 7785 16335 10477 17240 14191 17149 10784 1818
15770 10794 3466 6530 1129 3853 18565 9318 2841 12421
13652 1446 534 12226 10930 3024 4962 16180 11396 304
2541 10077 537 11194 7281 11885 9306 2345 9907 965
5038 6553 12636 9383 13963 14645 14118 13411 4847 17843
6717 306 177 8140 12501 11998 12056 18356 9072 4346
18656 12509 15320 91 4603 3502 12877 14811 6751 3688
16681 12696 11149 10226 2988 6023 5783 18018 347 11544
16777 7981 11847 17873 17041 5268 10793 10019 4547 789
15290 4130 14225 11539 5150 724 15973 18960 15503 3658
3583 13121 17291 15671 4287 1220 2635 11012 182 3927
3501 17906 12855 16297 16728 10846 2517 8473 1819 8019
10218 18066 13106 5401 10565 212 6121 7500 138 2589
12124 3689 16678 10383 330 1935 12575 3937 13920 13731
8840 18398 12614 2674 15675 10323 14501 192 797 17305
8179 10984 16358 2274 17374 7913 2482 4488 16407 2616
8073 9527 7303 5749 910 8633 8686 14487 13574 3610
9223 3421 3016 2845 7104 746 14180 2617 938 14973
938 9085 6974 18315 12378 5369 7249 15883 10881 4681
585 1041 15235 7856 6759 17175 17521 16477 12695 12130
1123 2955 16588 5177 6840 4732 5920 2062 8393 6854
18081 10377 16987 6104 9741 10416 12525 18043 7352 4460
3779 7934 5498 73 16849 13317 18309 15433 10857 12069
8629 13046 16091 6285 397 4002 12089 6286 7137 1557
14215 6294 13012 12281 13477 3834 3778 7084 2961 12215
12630 7826 1236 339 8989 301 13624 8391 15703 5576
1555 5428 852 18745 12813 114 3849 6005 7503 12090
8667 2825 634 2787 16215 14080 7732 1106 2278 11807
14436 16024 751 16791 16360 10861 17088 11107 375 13915
17808 3057 471 18657 2932 14414 1068 7913 1552 8539
1139 11356 12502 1769 15282 9857 16990 4157 12107 412
17110 7689 17584 193 5630 15094 11023 3870 7354 12552
131 6319 16767 570 6135 859 16146 7200 9936 62
16905 12241 11386 10575 15180 7839 1604 13342 13169 14885
14930 11456 3752 13693 11646 10562 9968 3851 15616 18506
17589 15743 6013 15544 17503 13338 17595 14841 1731 8725
14899 1064 2164 7483 11607 18544 16523 14414 13090 10897
10504 9227 3561 15465 4129 16418 7239 15309 1482 4069
15031 288 1029 2262 17051 1008 16822 15869 15817 1037
5820 11943 838 9212 655 13676 8988 18411 9323 3313
10544 1064 13777 15344 17769 422 13003 6250 15700 15730
